plot,Tree number,Species,X coord,Y coord,T1_DBH,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,Tree height,,,
141,924,ABCO,2.4,31.9,32.4,,,,,,,39.7,24.5,,,
141,926,PIPO,15.4,27.2,60.3,,,,,,,61.6,33.14,,,
141,927,PIPO,17.3,27.7,38.3,,,,,,,38.2,20.61,,,
141,928,ABCO,23.9,19.9,25,,,,,,,30.4,20.35,,,
141,929,ABCO,23.7,21.1,20.7,,,,,,,24.2,20.15,,,
141,931,ABCO,29.4,23.7,28.9,,,,,,,34.2,20.36,,,
141,934,ABCO,35.8,18.5,35.3,,,,,,,38.7,22.14,,,
141,935,ABCO,39.1,17.1,24.8,,,,,,,28.5,21.45,,,
141,936,PIFL,39,22.1,24.4,LE,2,2,1,2,2,27,18.55,,,
141,937,ABCO,38.3,19.6,22.3,,,,,,,24.8,19.24,,,
141,938,PIPO,46.9,17.4,51.4,,,,,,,51.5,30.78,,,
141,940,ABCO,49,21.9,21.2,LP,0,1.5,1,2,0.5,23,17.78,,,
141,941,ABCO,48.8,18.3,28.7,,,,,,,34,22.37,,,
141,942,ABCO,48,30,24.7,,,,,,,30.5,18.6,,,
141,943,ABCO,48,32,26.5,,,,,,,31.5,24.79,,,
