plot,Tree number,Species,X coord,Y coord,T1_DBH,T1_BasalArea,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,T2_BasalArea,Tree height,DBH_inc,,
127,2072,PIPO,10.9,40.7,27.5,593.9568594,,2,2,1,1,1,30.2,716.3139359,20.29,2.7,,x
127,2073,PIPO,11.3,35.4,27.2,581.0684864,,2,2,1,2,1,27.6,598.2843996,22.37,0.4,,x
127,2074,PIPO,11.2,36.2,27,572.5547775,,2,1,1,2,1,27,572.5547775,24.6,0,,x
127,2075,PIPO,14.9,42.3,74.7,4382.588736,,1,1,1,2,2,73.6,4254.466842,29.95,-1.1,,x
127,2076,PIPO,22.1,38.6,34.1,913.268067,,2,2,1,2,2,36.5,1046.345819,28.86,2.4,,x
127,2077,PIPO,19.7,49.5,38,1134.11399,,2,0,1,2,0,38,1134.11399,12.99,0,,x
127,2079,PIPO,22,47,48.5,1847.451269,,2,2,1,2,1,49.6,1932.203514,22.03,1.1,,x
127,2080,PIPO,28.9,41.2,40.5,1288.248249,,2,2,2,2,2,42.4,1411.95621,26.18,1.9,,x
127,2081,PIPO,33.3,42.5,26.3,543.2515968,,2,2,1,2,1,27.7,602.6276478,22.54,1.4,,x
127,2082,PIPO,33.8,46.2,28.7,646.9240668,,2,1,1,2,2,28.6,642.4237391,22.54,-0.1,,x
127,2083,PIPO,37.2,46.5,29.2,669.6613244,,2,1,1,2,2,31.8,794.2253679,23.7,2.6,,x
127,2089,PIPO,43.6,45.1,25,490.8734375,,2,2,1,2,1,25.9,526.852497,21.91,0.9,,x
127,2090,PIPO,44.3,48.2,56.5,2507.185169,,2,2,2,2,2,58.2,2660.329828,28.97,1.7,,DFI
127,2092,PIPO,38.9,49.5,33.6,886.6823616,,2,1,1,2,2,35.6,995.3813756,24.92,2,,DFL
127,2190,PIPO,39.2,11.3,36.1,1023.537876,,2,2,2,2,2,38.6,1170.210859,24.14,2.5,,DSF
127,2191,PIPO,38.5,10.5,41.2,1333.165132,,2,2,2,2,2,43.3,1472.533919,28.89,2.1,,DSL
127,2196,PIPO,15,0.6,25.2,498.7588284,,2,2,2,2,0,28,615.75164,14.39,2.8,,DSL
127,2198,PIPO,43.4,1.2,44,1520.52956,,2,2,2,2,2,45.5,1625.969174,25.99,1.5,,DSB
127,2200,pipo,34.5,2.5,81.5,5216.806544,,2,2,2,2,2,79.1,4914.082932,31.36,-2.4,,DSI
127,5999,PIPO,31.5,20.5,10.1,80.11839898,,2,1,0,2,0,10.5,86.59007438,7.38,0.4,,
127,6000,PIPO,31,25,8.4,55.4176476,,,,,,,,0,,,,
137,2127,PIPO,12.7,6.3,30.2,716.3139359,LF,2,1,1,2,2,31,754.7669975,15.15,0.8,,
137,2129,PIPO,1,44.7,26.9,568.321485,LG,1,2,2,2,2,28.4,633.4702076,12.43,1.5,,
137,2131,PIPO,13.9,45.9,50,1963.49375,DFI,,,,,,,0,,,,
137,2132,PIPO,25,48.7,40.3,1275.556226,DFL,,,,,,,0,,,,
137,2134,PIPO,49.5,38.1,64.1,3227.049102,DSF,,,,,,,0,,,,
137,2135,PIPO,47.3,11.6,53.9,2281.744671,LE,2,2,2,2,1,54.3,2315.736675,21.13,0.4,,
137,2136,PIPO,46.2,4.1,32.8,844.9620464,LG,2,2,2,2,2,34.1,913.268067,14.51,1.3,,
137,2137,PIPO,34.4,4.7,56.9,2542.8108,LE,2,2,2,2,2,57.4,2587.696267,20.52,0.5,,
137,2138,PIPO,31.7,3.6,38.9,1188.471351,LF,2,1,1,2,2,38.9,1188.471351,15.32,0,,
